draw_number,number,date
26,1631,1986/08/24
26,3213,1986/08/24
26,1986,1986/08/24
26,9484,1986/08/24
26,2364,1986/08/24
26,6162,1986/08/24
26,0027,1986/08/24
26,4816,1986/08/24
26,5926,1986/08/24
26,8685,1986/08/24
26,5551,1986/08/24
26,8100,1986/08/24
26,9882,1986/08/24
26,4678,1986/08/24
26,7947,1986/08/24
26,0297,1986/08/24
26,6741,1986/08/24
26,6114,1986/08/24
26,5108,1986/08/24
26,3231,1986/08/24
26,8740,1986/08/24
26,2564,1986/08/24
27,3475,1986/08/30
27,4005,1986/08/30
27,7780,1986/08/30
27,7539,1986/08/30
27,0162,1986/08/30
27,2377,1986/08/30
27,8451,1986/08/30
27,3447,1986/08/30
27,7542,1986/08/30
27,5739,1986/08/30
27,7682,1986/08/30
27,8621,1986/08/30
27,4225,1986/08/30
27,7107,1986/08/30
27,9021,1986/08/30
27,6340,1986/08/30
27,8767,1986/08/30
27,2741,1986/08/30
27,0580,1986/08/30
27,7326,1986/08/30
27,1297,1986/08/30
27,7441,1986/08/30
27,2666,1986/08/30
28,2715,1986/08/31
28,3568,1986/08/31
28,4568,1986/08/31
28,9633,1986/08/31
28,6768,1986/08/31
28,3470,1986/08/31
28,6025,1986/08/31
28,6580,1986/08/31
28,1460,1986/08/31
28,3568,1986/08/31
28,8479,1986/08/31
28,7291,1986/08/31
28,2366,1986/08/31
28,6423,1986/08/31
28,3409,1986/08/31
28,3760,1986/08/31
28,8700,1986/08/31
28,5771,1986/08/31
28,8115,1986/08/31
28,1326,1986/08/31
28,8016,1986/08/31
29,1787,1986/09/06
29,4020,1986/09/06
29,1413,1986/09/06
29,8995,1986/09/06
29,3053,1986/09/06
29,4362,1986/09/06
29,9374,1986/09/06
29,3318,1986/09/06
29,0708,1986/09/06
29,1440,1986/09/06
29,2441,1986/09/06
29,1362,1986/09/06
29,7363,1986/09/06
29,0461,1986/09/06
29,0928,1986/09/06
29,7050,1986/09/06
29,5334,1986/09/06
29,2066,1986/09/06
29,5255,1986/09/06
29,9241,1986/09/06
29,5049,1986/09/06
29,0861,1986/09/06
29,6646,1986/09/06
30,2636,1986/09/07
30,6514,1986/09/07
30,4040,1986/09/07
30,9525,1986/09/07
30,1300,1986/09/07
30,8485,1986/09/07
30,0316,1986/09/07
30,2144,1986/09/07
30,7812,1986/09/07
30,6654,1986/09/07
30,0913,1986/09/07
30,6977,1986/09/07
30,6925,1986/09/07
30,1168,1986/09/07
30,5458,1986/09/07
30,7864,1986/09/07
30,3731,1986/09/07
30,2029,1986/09/07
30,5235,1986/09/07
30,3461,1986/09/07
30,9698,1986/09/07
31,0933,1986/09/13
31,0198,1986/09/13
31,9864,1986/09/13
31,1467,1986/09/13
31,6553,1986/09/13
31,2432,1986/09/13
31,1242,1986/09/13
31,6531,1986/09/13
31,3403,1986/09/13
31,7352,1986/09/13
31,4322,1986/09/13
31,7194,1986/09/13
31,7635,1986/09/13
31,4201,1986/09/13
31,5547,1986/09/13
31,0079,1986/09/13
31,8301,1986/09/13
31,7332,1986/09/13
31,3257,1986/09/13
31,0669,1986/09/13
31,6411,1986/09/13
32,1421,1986/09/14
32,3183,1986/09/14
32,6762,1986/09/14
32,1911,1986/09/14
32,7870,1986/09/14
32,4001,1986/09/14
32,5662,1986/09/14
32,0856,1986/09/14
32,0850,1986/09/14
32,7125,1986/09/14
32,5412,1986/09/14
32,0211,1986/09/14
32,7855,1986/09/14
32,0015,1986/09/14
32,2143,1986/09/14
32,7296,1986/09/14
32,6833,1986/09/14
32,3947,1986/09/14
32,7493,1986/09/14
32,7232,1986/09/14
32,6156,1986/09/14
33,5545,1986/09/20
33,6663,1986/09/20
33,2131,1986/09/20
33,8312,1986/09/20
33,6153,1986/09/20
33,4764,1986/09/20
33,7838,1986/09/20
33,3136,1986/09/20
33,4008,1986/09/20
33,2754,1986/09/20
33,1105,1986/09/20
33,7944,1986/09/20
33,8798,1986/09/20
33,2014,1986/09/20
33,3702,1986/09/20
33,1149,1986/09/20
33,1846,1986/09/20
33,4059,1986/09/20
33,9266,1986/09/20
33,7744,1986/09/20
33,8668,1986/09/20
33,7642,1986/09/20
33,0064,1986/09/20
34,9814,1986/09/21
34,3935,1986/09/21
34,6337,1986/09/21
34,0257,1986/09/21
34,5107,1986/09/21
34,5013,1986/09/21
34,0035,1986/09/21
34,2456,1986/09/21
34,5831,1986/09/21
34,0400,1986/09/21
34,2516,1986/09/21
34,1163,1986/09/21
34,3081,1986/09/21
34,1585,1986/09/21
34,4009,1986/09/21
34,2544,1986/09/21
34,7476,1986/09/21
34,1826,1986/09/21
34,7641,1986/09/21
34,8715,1986/09/21
34,0595,1986/09/21
34,6455,1986/09/21
34,8626,1986/09/21
35,5752,1986/09/27
35,0627,1986/09/27
35,1761,1986/09/27
35,7773,1986/09/27
35,4737,1986/09/27
35,5151,1986/09/27
35,0480,1986/09/27
35,5328,1986/09/27
35,8376,1986/09/27
35,9052,1986/09/27
35,5532,1986/09/27
35,1362,1986/09/27
35,4130,1986/09/27
35,1495,1986/09/27
35,6480,1986/09/27
35,9450,1986/09/27
35,5108,1986/09/27
35,5852,1986/09/27
35,4589,1986/09/27
35,3709,1986/09/27
35,3164,1986/09/27
35,4325,1986/09/27
35,5882,1986/09/27
36,4443,1986/09/28
36,7796,1986/09/28
36,1840,1986/09/28
36,8549,1986/09/28
36,1304,1986/09/28
36,1232,1986/09/28
36,4055,1986/09/28
36,9093,1986/09/28
36,5118,1986/09/28
36,9052,1986/09/28
36,7041,1986/09/28
36,1135,1986/09/28
36,4251,1986/09/28
36,0569,1986/09/28
36,0379,1986/09/28
36,7388,1986/09/28
36,6366,1986/09/28
36,6422,1986/09/28
36,6068,1986/09/28
36,9792,1986/09/28
36,7830,1986/09/28
37,5093,1986/10/04
37,9983,1986/10/04
37,5080,1986/10/04
37,8853,1986/10/04
37,2977,1986/10/04
37,5984,1986/10/04
37,4690,1986/10/04
37,7857,1986/10/04
37,6132,1986/10/04
37,6654,1986/10/04
37,0030,1986/10/04
37,2420,1986/10/04
37,3611,1986/10/04
37,9499,1986/10/04
37,6501,1986/10/04
37,8411,1986/10/04
37,0135,1986/10/04
37,3007,1986/10/04
37,3186,1986/10/04
37,3600,1986/10/04
37,1304,1986/10/04
37,9742,1986/10/04
37,6851,1986/10/04
38,0671,1986/10/05
38,9915,1986/10/05
38,6744,1986/10/05
38,7907,1986/10/05
38,0841,1986/10/05
38,1450,1986/10/05
38,5239,1986/10/05
38,7437,1986/10/05
38,1747,1986/10/05
38,7579,1986/10/05
38,4506,1986/10/05
38,9387,1986/10/05
38,4687,1986/10/05
38,9546,1986/10/05
38,2931,1986/10/05
38,6031,1986/10/05
38,2156,1986/10/05
38,8551,1986/10/05
38,2375,1986/10/05
38,2359,1986/10/05
38,8028,1986/10/05
38,7194,1986/10/05
38,0645,1986/10/05
39,5577,1986/10/11
39,6063,1986/10/11
39,4272,1986/10/11
39,2521,1986/10/11
39,1949,1986/10/11
39,2813,1986/10/11
39,2597,1986/10/11
39,7145,1986/10/11
39,4406,1986/10/11
39,9266,1986/10/11
39,6808,1986/10/11
39,2863,1986/10/11
39,9018,1986/10/11
39,1115,1986/10/11
39,5308,1986/10/11
39,2807,1986/10/11
39,4528,1986/10/11
39,5894,1986/10/11
39,1350,1986/10/11
39,7437,1986/10/11
39,0198,1986/10/11
39,9231,1986/10/11
39,9343,1986/10/11
40,9726,1986/10/12
40,0630,1986/10/12
40,8489,1986/10/12
40,3454,1986/10/12
40,3687,1986/10/12
40,3389,1986/10/12
40,3215,1986/10/12
40,8437,1986/10/12
40,7688,1986/10/12
40,3468,1986/10/12
40,7792,1986/10/12
40,2815,1986/10/12
40,7576,1986/10/12
40,8313,1986/10/12
40,5959,1986/10/12
40,2845,1986/10/12
40,2611,1986/10/12
40,4933,1986/10/12
40,3303,1986/10/12
40,8011,1986/10/12
40,8300,1986/10/12
40,4286,1986/10/12
40,4086,1986/10/12
41,4682,1986/10/18
41,8752,1986/10/18
41,9876,1986/10/18
41,8656,1986/10/18
41,4080,1986/10/18
41,3673,1986/10/18
41,5385,1986/10/18
41,1210,1986/10/18
41,5054,1986/10/18
41,6501,1986/10/18
41,3443,1986/10/18
41,5104,1986/10/18
41,1784,1986/10/18
41,4262,1986/10/18
41,4201,1986/10/18
41,4761,1986/10/18
41,2387,1986/10/18
41,9006,1986/10/18
41,7903,1986/10/18
41,4818,1986/10/18
41,2777,1986/10/18
41,6755,1986/10/18
41,9121,1986/10/18
42,1235,1986/10/19
42,5446,1986/10/19
42,7876,1986/10/19
42,2558,1986/10/19
42,2475,1986/10/19
42,0783,1986/10/19
42,7608,1986/10/19
42,7235,1986/10/19
42,7607,1986/10/19
42,5606,1986/10/19
42,1762,1986/10/19
42,4409,1986/10/19
42,7233,1986/10/19
42,1943,1986/10/19
42,5032,1986/10/19
42,2195,1986/10/19
42,9124,1986/10/19
42,3367,1986/10/19
42,6476,1986/10/19
42,9000,1986/10/19
42,3405,1986/10/19
42,6444,1986/10/19
42,2474,1986/10/19
43,4761,1986/10/25
43,1552,1986/10/25
43,9732,1986/10/25
43,0854,1986/10/25
43,0943,1986/10/25
43,8471,1986/10/25
43,4031,1986/10/25
43,3655,1986/10/25
43,1511,1986/10/25
43,7971,1986/10/25
43,0325,1986/10/25
43,0191,1986/10/25
43,9574,1986/10/25
43,1022,1986/10/25
43,4343,1986/10/25
43,7202,1986/10/25
43,4742,1986/10/25
43,9564,1986/10/25
43,2529,1986/10/25
43,0825,1986/10/25
43,1182,1986/10/25
44,8361,1986/10/26
44,4713,1986/10/26
44,4883,1986/10/26
44,6719,1986/10/26
44,5360,1986/10/26
44,0263,1986/10/26
44,9793,1986/10/26
44,7189,1986/10/26
44,0234,1986/10/26
44,2420,1986/10/26
44,9902,1986/10/26
44,6208,1986/10/26
44,1241,1986/10/26
44,0663,1986/10/26
44,9813,1986/10/26
44,3387,1986/10/26
44,3563,1986/10/26
44,3476,1986/10/26
44,4215,1986/10/26
44,7031,1986/10/26
44,4780,1986/10/26
45,9987,1986/11/01
45,2808,1986/11/01
45,8437,1986/11/01
45,7158,1986/11/01
45,1495,1986/11/01
45,2494,1986/11/01
45,2527,1986/11/01
45,3707,1986/11/01
45,8592,1986/11/01
45,3292,1986/11/01
45,1695,1986/11/01
45,8540,1986/11/01
45,5887,1986/11/01
